RAPPORT: OPPERVLAKTEWATERSTANDEN 
CATEGORIE: GEMETEN STANDEN 
TITEL: Duinweilanden Texel ow
PERIODE: van 01/01/1900 t/m 15/01/2016
GEBRUIKER: HARKEMA
DATUM: 15/01/2016
 
SCHAAL CLUSTER,SCHAAL,OLGA NUMMER,SCHAAL CONSTRUCTIE,X COORDINAAT (m),Y COORDINAAT (m),MAAIVELD (cm NAP),MAAIVELD GESCHAT,START DATUM,EIND DATUM,MEETPUNT (cm NAP),MEETPUNT (cm MV)
,P04D0001,15/12/1989,,,D,,,
,P04D0001,28/12/1989,,,D,,,
,P04D0001,15/01/1990,,,D,,,
,P04D0001,28/01/1990,,,D,,,
,P04D0001,14/02/1990,,,D,,,
,P04D0001,28/02/1990,,,D,,,
,P04D0001,14/03/1990,,,D,,,
,P04D0001,28/03/1990,,,D,,,
,P04D0001,14/04/1990,,,D,,,
,P04D0001,28/04/1990,,,D,,,
,P04D0001,14/05/1990,,,D,,,
,P04D0002,28/09/1981,,,D,,,
,P04D0002,14/10/1981,,,D,,,
,P04D0002,28/10/1981,,,D,,,
,P04D0002,14/11/1981,,,D,,,
,P04D0002,28/11/1981,,96,,,,
,P04D0002,14/12/1981,,93,,,,
,P04D0002,28/12/1981,,,D,,,
,P04D0002,14/01/1982,,,D,,,
,P04D0002,28/01/1982,,94,,,,
,P04D0002,14/02/1982,,,D,,,
,P04D0002,28/02/1982,,,D,,,
,P04D0002,14/03/1982,,,D,,,
,P04D0002,29/03/1982,,,D,,,
,P04D0002,14/04/1982,,,D,,,
,P04D0002,28/04/1982,,,D,,,
,P04D0002,14/05/1982,,,D,,,
,P04D0002,29/05/1982,,,D,,,
,P04D0002,14/06/1982,,,D,,,
,P04D0002,28/06/1982,,,D,,,
,P04D0002,14/07/1982,,,D,,,
,P04D0002,28/07/1982,,,D,,,
,P04D0002,14/08/1982,,,D,,,
,P04D0002,28/08/1982,,,D,,,
,P04D0002,14/09/1982,,,D,,,
,P04D0002,28/09/1982,,,D,,,
,P04D0002,14/10/1982,,90,,,,
,P04D0002,28/10/1982,,,D,,,
,P04D0002,14/11/1982,,,D,,,
,P04D0002,29/11/1982,,,D,,,
,P04D0002,16/12/1982,,,D,,,
,P04D0002,28/12/1982,,,D,,,
,P04D0002,14/01/1983,,93,,,,
,P04D0002,30/01/1983,,93,,,,
,P04D0002,14/02/1983,,,Y,,,
,P04D0002,28/02/1983,,,D,,,
,P04D0002,15/03/1983,,,D,,,
,P04D0002,28/03/1983,,100,,,,
,P04D0002,14/04/1983,,,D,,,
,P04D0002,30/04/1983,,90,,,,
,P04D0002,14/05/1983,,90,,,,
,P04D0002,28/05/1983,,,D,,,
,P04D0002,14/06/1983,,,D,,,
,P04D0002,30/06/1983,,,D,,,
