1;2;3;4;5;6;7;8;9;10;
NITGNR;FILTER NR;X COORD;Y COORD;SURFACE LEV (m-ref);TOP FILTER (m-ref);BOTTOM FILTER (m-ref);MEAS POINT LEV (m-ref);SED SUMP LENGTH (m);START DATE 
B16B0114;1;21-03-2004 08:00; -1,1115
B16B0114;1;22-03-2004 08:00; -1,1179
B16B0114;1;23-03-2004 08:00; -1,1103
B16B0114;1;24-03-2004 08:00; -1,1088
B16B0114;1;25-03-2004 08:00; -1,1071
B16B0114;1;26-03-2004 08:00; -1,1107
B16B0114;1;27-03-2004 08:00; -1,1123
B16B0114;1;28-03-2004 08:00; -1,1089
B16B0114;1;29-03-2004 08:00; -1,1052
B16B0114;1;30-03-2004 08:00; -1,1164
B16B0114;1;31-03-2004 08:00; -1,1236
B16B0114;1;01-04-2004 08:00; -1,1182
B16B0114;1;02-04-2004 08:00; -1,1142
B16B0114;1;03-04-2004 08:00; -1,1111
B16B0114;1;04-04-2004 08:00; -1,1003
B16B0114;1;05-04-2004 08:00; -1,1165
B16B0114;1;06-04-2004 08:00; -1,1147
B16B0114;1;07-04-2004 08:00; -1,1063
B16B0114;1;08-04-2004 08:00; -1,1143
B16B0114;1;09-04-2004 08:00; -1,1063
B16B0114;1;10-04-2004 08:00; -1,0991
B16B0114;1;11-04-2004 08:00; -1,1096
B16B0114;1;12-04-2004 08:00; -1,1058
B16B0114;1;13-04-2004 08:00; -1,1054
B16B0114;1;14-04-2004 08:00; -1,1146
B16B0114;1;15-04-2004 08:00; -1,1082
B16B0114;1;16-04-2004 08:00; -1,1037
B16B0114;1;17-04-2004 08:00; -1,0968
B16B0114;1;18-04-2004 08:00; -1,0877
B16B0114;1;19-04-2004 08:00; -1,0927
B16B0114;1;20-04-2004 08:00; -1,1077
B16B0114;1;21-04-2004 08:00; -1,1056
B16B0114;1;22-04-2004 08:00; -1,0993
B16B0114;1;23-04-2004 08:00; -1,1136
B16B0114;1;24-04-2004 08:00; -1,1131
B16B0114;1;25-04-2004 08:00; -1,1277
B16B0114;1;26-04-2004 08:00; -1,1233
B16B0114;1;27-04-2004 08:00; -1,0798
B16B0114;1;28-04-2004 08:00; -1,0794
B16B0114;1;29-04-2004 08:00; -1,0539
B16B0114;1;30-04-2004 08:00; -1,0597
B16B0114;1;01-05-2004 08:00; -1,0619
B16B0114;1;02-05-2004 08:00; -1,0637
B16B0114;1;03-05-2004 08:00; -1,0662
B16B0114;1;04-05-2004 08:00; -1,0581
B16B0114;1;05-05-2004 08:00; -1,0571
B16B0114;1;06-05-2004 08:00; -1,0778
B16B0114;1;07-05-2004 08:00; -1,0631
B16B0114;1;08-05-2004 08:00; -1,0337
B16B0114;1;09-05-2004 08:00; -1,0337
B16B0114;1;10-05-2004 08:00;   -1,04
B16B0114;1;11-05-2004 08:00; -1,0486
B16B0114;1;12-05-2004 08:00; -1,0563
B16B0114;1;13-05-2004 08:00; -1,0586
B16B0114;1;14-05-2004 08:00; -1,0667
B16B0114;1;15-05-2004 08:00; -1,0565
B16B0114;1;16-05-2004 08:00; -1,0598
B16B0114;1;17-05-2004 08:00; -1,0676
B16B0114;1;18-05-2004 08:00; -1,0559
B16B0114;1;19-05-2004 08:00; -1,0709
B16B0114;1;20-05-2004 08:00; -1,0555
B16B0114;1;21-05-2004 08:00; -1,0812
B16B0114;1;22-05-2004 08:00; -1,0942
B16B0114;1;23-05-2004 08:00; -1,0973
B16B0114;1;24-05-2004 08:00; -1,0998
B16B0114;1;25-05-2004 08:00; -1,0934
B16B0114;1;26-05-2004 08:00; -1,1063
B16B0114;1;27-05-2004 08:00; -1,1007
B16B0114;1;28-05-2004 08:00; -1,1004
B16B0114;1;29-05-2004 08:00; -1,1007
B16B0114;1;30-05-2004 08:00; -1,0948
B16B0114;1;31-05-2004 08:00; -1,0967
B16B0114;1;01-06-2004 08:00; -1,0914
B16B0114;1;02-06-2004 08:00; -1,0823
B16B0114;1;03-06-2004 08:00;  -1,092
B16B0114;1;04-06-2004 08:00; -1,0851
B16B0114;1;05-06-2004 08:00; -1,0849
B16B0114;1;06-06-2004 08:00; -1,0721
B16B0114;1;07-06-2004 08:00; -1,0893
B16B0114;1;08-06-2004 08:00; -1,0792
B16B0114;1;09-06-2004 08:00; -1,0849
B16B0114;1;10-06-2004 08:00; -1,0902
B16B0114;1;11-06-2004 08:00; -1,0951
B16B0114;1;12-06-2004 08:00;  -1,107
B16B0114;1;13-06-2004 08:00; -1,1051
B16B0114;1;14-06-2004 08:00; -1,1003
B16B0114;1;15-06-2004 08:00; -1,0891
B16B0114;1;16-06-2004 08:00; -1,1114
B16B0114;1;17-06-2004 08:00; -1,1003
B16B0114;1;18-06-2004 08:00; -1,1164
B16B0114;1;19-06-2004 08:00; -1,1147
B16B0114;1;20-06-2004 08:00; -1,1262
B16B0114;1;21-06-2004 08:00; -1,1319
B16B0114;1;22-06-2004 08:00; -1,1264
B16B0114;1;23-06-2004 08:00; -1,1125
B16B0114;1;24-06-2004 08:00; -1,0809
B16B0114;1;25-06-2004 08:00; -1,0488
B16B0114;1;26-06-2004 08:00; -1,0307
B16B0114;1;27-06-2004 08:00; -1,0245
B16B0114;1;28-06-2004 08:00; -1,0147
B16B0114;1;29-06-2004 08:00; -1,0357
B16B0114;1;30-06-2004 08:00; -1,0369
B16B0114;1;01-07-2004 08:00; -1,0379
B16B0114;1;02-07-2004 08:00; -1,0439
B16B0114;1;03-07-2004 08:00;-0,99757
B16B0114;1;04-07-2004 08:00;-0,97952
B16B0114;1;05-07-2004 08:00; -0,9824
B16B0114;1;06-07-2004 08:00;-0,99119
B16B0114;1;07-07-2004 08:00; -1,0035
B16B0114;1;08-07-2004 08:00; -1,0082
B16B0114;1;09-07-2004 08:00; -1,0043
B16B0114;1;10-07-2004 08:00; -1,0082
B16B0114;1;11-07-2004 08:00; -1,0216
B16B0114;1;12-07-2004 08:00; -1,0309
B16B0114;1;13-07-2004 08:00; -1,0431
B16B0114;1;14-07-2004 08:00; -1,0491
B16B0114;1;15-07-2004 08:00; -1,0373
B16B0114;1;16-07-2004 08:00; -1,0329
B16B0114;1;17-07-2004 08:00; -1,0236
B16B0114;1;18-07-2004 08:00;-0,97797
B16B0114;1;19-07-2004 08:00;-0,97229
B16B0114;1;20-07-2004 08:00;-0,98007
