Format;HydroMonitor - open data exchange format;;;;;;;;;;;
Format Version;1.0;;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;;
Format Type;CSV;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;
Object Type;SurfaceWaterLevelGauge;;;;;;;;;;;
Object ID Fields;NITGCode;;;;;;;;;;;
;;;;;;;;;;;;
Name;NITGCode;OLGACode;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;GaugeTopLevel;GaugeBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy
[String];[String];[String];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String]
LocalName1;P520089;;15-6-1970 0:00;187930;378630;30,37;30,76;20;;;;
LocalName2;P520151;;15-6-1970 0:00;189790;382110;30,16;30,74;22,74;;;;
LocalName3;P520156;;15-6-1970 0:00;187360;377180;27,86;28,09;10,09;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,74;29,24;;;;
LocalName4;P520281;;1-6-2003 0:00;189440;383320;30,78;30,72;27,21;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,71;27,21;;;;
;;;;;;;;;;;;
NITGCode;DateTime;Level;;;;;;;;;;
[String];[dd-mm-yyyy HH:MM];[m+ref];;;;;;;;;;
P520281;27-3-1997 1:00;30,27;;;;;;;;;;
P520281;14-4-1997 1:00;30,13;;;;;;;;;;
P520281;28-4-1997 1:00;30,24;;;;;;;;;;
P520281;14-5-1997 1:00;30,26;;;;;;;;;;
P520281;28-5-1997 1:00;29,98;;;;;;;;;;
P520281;14-6-1997 1:00;29,9;;;;;;;;;;
P520281;28-6-1997 1:00;30,5;;;;;;;;;;
P520281;16-7-1997 1:00;29,96;;;;;;;;;;
P520281;28-7-1997 1:00;29,72;;;;;;;;;;
P520281;14-8-1997 1:00;29,32;;;;;;;;;;
P520281;14-10-1997 1:00;29,4;;;;;;;;;;
P520281;28-10-1997 1:00;29,41;;;;;;;;;;
P520281;14-11-1997 1:00;29,42;;;;;;;;;;
P520281;28-11-1997 1:00;29,47;;;;;;;;;;
P520281;14-12-1997 1:00;29,84;;;;;;;;;;
P520281;14-1-1998 1:00;30,32;;;;;;;;;;
P520281;13-2-1998 1:00;30,13;;;;;;;;;;
P520281;27-3-1998 1:00;30,25;;;;;;;;;;
P520281;14-4-1998 1:00;30,44;;;;;;;;;;
P520281;28-4-1998 1:00;30,5;;;;;;;;;;
P520281;13-5-1998 1:00;29,95;;;;;;;;;;
P520281;28-5-1998 1:00;30,6;;;;;;;;;;
P520281;15-6-1998 1:00;30,61;;;;;;;;;;
P520281;29-6-1998 1:00;30,02;;;;;;;;;;
P520281;14-1-1999 1:00;30,67;;;;;;;;;;
P520281;28-1-1999 1:00;30,7;;;;;;;;;;
P520281;15-2-1999 1:00;30,56;;;;;;;;;;
P520281;1-3-1999 1:00;30,68;;;;;;;;;;
P520281;17-3-1999 1:00;30,55;;;;;;;;;;
P520281;29-3-1999 1:00;30,56;;;;;;;;;;
P520281;14-4-1999 1:00;30,59;;;;;;;;;;
P520281;29-4-1999 1:00;30,38;;;;;;;;;;
P520281;17-5-1999 1:00;30,08;;;;;;;;;;
P520281;28-5-1999 1:00;29,89;;;;;;;;;;
P520281;14-6-1999 1:00;29,95;;;;;;;;;;
P520281;28-6-1999 1:00;29,78;;;;;;;;;;
P520281;14-7-1999 1:00;29,83;;;;;;;;;;
P520281;28-7-1999 1:00;29,49;;;;;;;;;;
P520281;16-8-1999 1:00;29,71;;;;;;;;;;
P520281;28-8-1999 1:00;29,71;;;;;;;;;;
P520281;14-9-1999 1:00;29,34;;;;;;;;;;
P520281;28-9-1999 1:00;30,74;;;;;;;;;;
P520281;14-10-1999 1:00;29,31;;;;;;;;;;
P520281;28-10-1999 1:00;30,74;;;;;;;;;;
P520281;17-11-1999 1:00;29,38;;;;;;;;;;
P520281;30-11-1999 1:00;29,39;;;;;;;;;;
P520281;15-12-1999 1:00;30,43;;;;;;;;;;
P520281;14-1-2000 1:00;30,34;;;;;;;;;;
P520281;29-1-2000 1:00;30,27;;;;;;;;;;
P520281;15-2-2000 1:00;30,47;;;;;;;;;;
P520281;28-2-2000 1:00;30,61;;;;;;;;;;
P520281;14-3-2000 1:00;30,56;;;;;;;;;;
P520281;28-3-2000 1:00;30,57;;;;;;;;;;
P520281;14-4-2000 1:00;30,51;;;;;;;;;;
P520281;28-4-2000 1:00;30,42;;;;;;;;;;
P520281;14-5-2000 1:00;30,18;;;;;;;;;;
P520281;29-5-2000 1:00;30,46;;;;;;;;;;
P520281;14-6-2000 1:00;30,17;;;;;;;;;;
P520281;26-6-2000 1:00;30,08;;;;;;;;;;
P520281;14-7-2000 1:00;30,23;;;;;;;;;;
P520281;28-7-2000 1:00;30,19;;;;;;;;;;
P520281;14-8-2000 1:00;29,64;;;;;;;;;;
P520281;28-8-2000 1:00;29,77;;;;;;;;;;
P520281;13-9-2000 1:00;29,79;;;;;;;;;;
P520281;27-9-2000 1:00;29,66;;;;;;;;;;
P520281;13-10-2000 1:00;30,13;;;;;;;;;;
P520281;27-10-2000 1:00;30,09;;;;;;;;;;
P520281;14-11-2000 1:00;30,37;;;;;;;;;;
P520281;28-11-2000 1:00;30,64;;;;;;;;;;
P520281;14-12-2000 1:00;30,53;;;;;;;;;;
P520281;2-1-2001 1:00;30,56;;;;;;;;;;
P520281;15-1-2001 1:00;30,45;;;;;;;;;;
P520281;29-1-2001 1:00;30,63;;;;;;;;;;
P520281;14-2-2001 1:00;30,59;;;;;;;;;;
P520281;27-2-2001 1:00;30,57;;;;;;;;;;
P520281;14-3-2001 1:00;30,6;;;;;;;;;;
P520281;12-4-2001 1:00;30,55;;;;;;;;;;
P520281;26-4-2001 1:00;30,61;;;;;;;;;;
P520281;15-5-2001 1:00;30,26;;;;;;;;;;
P520281;28-5-2001 1:00;29,83;;;;;;;;;;
P520281;14-6-2001 1:00;29,76;;;;;;;;;;
P520281;29-6-2001 1:00;29,63;;;;;;;;;;
P520281;13-7-2001 1:00;29,44;;;;;;;;;;
P520281;27-7-2001 1:00;29,64;;;;;;;;;;
P520281;14-8-2001 1:00;29,24;;;;;;;;;;
P520281;28-8-2001 1:00;29,24;;;;;;;;;;
P520281;14-9-2001 1:00;29,62;;;;;;;;;;
P520281;28-9-2001 1:00;30,19;;;;;;;;;;
P520281;28-10-2001 1:00;30,09;;;;;;;;;;
P520281;14-11-2001 1:00;30,14;;;;;;;;;;
P520281;28-11-2001 1:00;30,38;;;;;;;;;;
P520281;14-12-2001 1:00;30,31;;;;;;;;;;
P520281;28-12-2001 1:00;30,7;;;;;;;;;;
P520281;15-1-2002 1:00;30,46;;;;;;;;;;
P520281;29-1-2002 1:00;30,64;;;;;;;;;;
P520281;14-3-2002 1:00;30,54;;;;;;;;;;
P520281;28-3-2002 1:00;30,48;;;;;;;;;;
P520281;16-4-2002 1:00;30,63;;;;;;;;;;
P520281;29-4-2002 1:00;30,42;;;;;;;;;;
P520281;17-5-2002 1:00;30,3;;;;;;;;;;
P520281;28-5-2002 1:00;30,07;;;;;;;;;;
P520281;13-6-2002 1:00;30,35;;;;;;;;;;
P520281;28-6-2002 1:00;29,9;;;;;;;;;;
P520281;15-7-2002 1:00;30,46;;;;;;;;;;
P520281;29-7-2002 1:00;29,93;;;;;;;;;;
P520281;14-8-2002 1:00;29,86;;;;;;;;;;
P520281;28-8-2002 1:00;30,25;;;;;;;;;;
P520281;17-9-2002 1:00;29,65;;;;;;;;;;
P520281;1-10-2002 1:00;29,64;;;;;;;;;;
P520281;14-10-2002 1:00;29,69;;;;;;;;;;
P520281;31-10-2002 1:00;30,11;;;;;;;;;;
P520281;14-11-2002 1:00;30,61;;;;;;;;;;
P520281;29-11-2002 1:00;30,49;;;;;;;;;;
P520281;13-12-2002 1:00;30,29;;;;;;;;;;
P520281;27-12-2002 1:00;30,67;;;;;;;;;;
P520281;14-1-2003 1:00;30,61;;;;;;;;;;
P520281;28-1-2003 1:00;30,63;;;;;;;;;;
P520281;14-2-2003 1:00;30,47;;;;;;;;;;
P520281;28-2-2003 1:00;30,45;;;;;;;;;;
P520281;17-3-2003 1:00;30,54;;;;;;;;;;
P520281;31-3-2003 1:00;30,38;;;;;;;;;;
P520281;14-4-2003 1:00;30,31;;;;;;;;;;
P520281;28-4-2003 1:00;30,41;;;;;;;;;;
P520281;14-5-2003 1:00;30,07;;;;;;;;;;
P520281;28-5-2003 1:00;30,41;;;;;;;;;;
P520281;13-6-2003 1:00;30;;;;;;;;;;
P520281;27-6-2003 1:00;29,62;;;;;;;;;;
P520281;14-7-2003 1:00;29,64;;;;;;;;;;
P520281;28-7-2003 1:00;29,49;;;;;;;;;;
P520281;14-10-2003 1:00;29,44;;;;;;;;;;
P520281;28-10-2003 1:00;29,39;;;;;;;;;;
P520281;28-11-2003 1:00;29,56;;;;;;;;;;
P520281;15-12-2003 1:00;29,96;;;;;;;;;;
P520281;29-12-2003 1:00;30,29;;;;;;;;;;
P520281;15-1-2004 1:00;30,49;;;;;;;;;;
P520281;29-1-2004 1:00;30,39;;;;;;;;;;
P520281;27-2-2004 1:00;30,4;;;;;;;;;;
P520281;15-3-2004 1:00;30,43;;;;;;;;;;
P520281;29-3-2004 1:00;30,36;;;;;;;;;;
P520281;15-4-2004 1:00;30,32;;;;;;;;;;
P520281;29-4-2004 1:00;30,21;;;;;;;;;;
P520281;13-5-2004 1:00;30,29;;;;;;;;;;
P520281;27-5-2004 1:00;29,87;;;;;;;;;;
P520281;14-6-2004 1:00;29,81;;;;;;;;;;
P520281;28-6-2004 1:00;29,68;;;;;;;;;;
P520281;15-7-2004 1:00;29,88;;;;;;;;;;
P520281;27-7-2004 1:00;30,01;;;;;;;;;;
P520281;26-8-2004 1:00;29,62;;;;;;;;;;
P520281;13-9-2004 1:00;29,34;;;;;;;;;;
P520281;27-9-2004 1:00;29,75;;;;;;;;;;
P520281;14-10-2004 1:00;29,55;;;;;;;;;;
P520281;29-10-2004 1:00;29,61;;;;;;;;;;
P520281;15-11-2004 1:00;29,94;;;;;;;;;;
P520281;29-11-2004 1:00;30,45;;;;;;;;;;
P520281;14-12-2004 1:00;30,28;;;;;;;;;;
P520281;28-12-2004 1:00;30,59;;;;;;;;;;
P520281;13-1-2005 1:00;30,42;;;;;;;;;;
P520281;27-1-2005 1:00;30,54;;;;;;;;;;
P520281;14-2-2005 1:00;30,68;;;;;;;;;;
P520281;28-2-2005 1:00;30,5;;;;;;;;;;
P520281;14-3-2005 1:00;30,55;;;;;;;;;;
P520281;29-3-2005 1:00;30,46;;;;;;;;;;
P520281;14-4-2005 1:00;30,38;;;;;;;;;;
P520281;14-11-1992 1:00;29,91;;;;;;;;;;
P520281;28-11-1992 1:00;30,1;;;;;;;;;;
P520281;14-12-1992 1:00;30,16;;;;;;;;;;
P520281;28-12-1992 1:00;30,1;;;;;;;;;;
P520281;14-1-1993 1:00;30,19;;;;;;;;;;
P520281;28-1-1993 1:00;30,2;;;;;;;;;;
P520281;14-2-1993 1:00;30,13;;;;;;;;;;
P520281;28-2-1993 1:00;30,17;;;;;;;;;;
P520281;14-3-1993 1:00;30,06;;;;;;;;;;
P520281;28-3-1993 1:00;29,98;;;;;;;;;;
P520281;14-4-1993 1:00;29,99;;;;;;;;;;
P520281;28-4-1993 1:00;29,96;;;;;;;;;;
P520281;14-5-1993 1:00;29,99;;;;;;;;;;
P520281;28-5-1993 1:00;29,88;;;;;;;;;;
P520281;14-6-1993 1:00;29,68;;;;;;;;;;
P520281;28-6-1993 1:00;29,55;;;;;;;;;;
P520281;14-7-1993 1:00;29,48;;;;;;;;;;
P520281;28-7-1993 1:00;29,68;;;;;;;;;;
P520281;14-8-1993 1:00;29,71;;;;;;;;;;
P520281;28-8-1993 1:00;29,69;;;;;;;;;;
P520281;14-9-1993 1:00;29,67;;;;;;;;;;
P520281;28-9-1993 1:00;29,96;;;;;;;;;;
P520281;14-10-1993 1:00;30,11;;;;;;;;;;
P520281;28-10-1993 1:00;30,04;;;;;;;;;;
P520281;14-11-1993 1:00;30,07;;;;;;;;;;
P520281;28-11-1993 1:00;29,98;;;;;;;;;;
P520281;14-12-1993 1:00;30,18;;;;;;;;;;
P520281;28-12-1993 1:00;30,26;;;;;;;;;;
P520281;14-1-1994 1:00;30,24;;;;;;;;;;
P520281;28-1-1994 1:00;30,33;;;;;;;;;;
P520281;14-2-1994 1:00;30,13;;;;;;;;;;
P520281;28-2-1994 1:00;30,09;;;;;;;;;;
P520281;14-3-1994 1:00;30,14;;;;;;;;;;
P520281;28-3-1994 1:00;30,26;;;;;;;;;;
P520281;14-4-1994 1:00;30,19;;;;;;;;;;
P520281;28-4-1994 1:00;30,06;;;;;;;;;;
P520281;14-5-1994 1:00;30,02;;;;;;;;;;
P520281;28-5-1994 1:00;30,03;;;;;;;;;;
P520281;14-6-1994 1:00;30,08;;;;;;;;;;
P520281;28-6-1994 1:00;29,91;;;;;;;;;;
P520281;14-7-1994 1:00;29,67;;;;;;;;;;
P520281;14-8-1994 1:00;29,41;;;;;;;;;;
P520281;28-8-1994 1:00;29,49;;;;;;;;;;
P520281;14-9-1994 1:00;29,54;;;;;;;;;;
P520281;28-9-1994 1:00;29,59;;;;;;;;;;
P520281;14-10-1994 1:00;29,64;;;;;;;;;;
P520281;28-10-1994 1:00;29,61;;;;;;;;;;
P520281;14-11-1994 1:00;29,83;;;;;;;;;;
P520281;28-11-1994 1:00;29,92;;;;;;;;;;
P520281;14-12-1994 1:00;30,03;;;;;;;;;;
P520281;28-12-1994 1:00;30,2;;;;;;;;;;
P520281;14-1-1995 1:00;30,11;;;;;;;;;;
P520281;28-1-1995 1:00;30,23;;;;;;;;;;
P520281;14-2-1995 1:00;30,24;;;;;;;;;;
P520281;28-2-1995 1:00;30,26;;;;;;;;;;
P520281;14-3-1995 1:00;30,19;;;;;;;;;;
P520281;28-3-1995 1:00;30,2;;;;;;;;;;
P520281;14-4-1995 1:00;30,09;;;;;;;;;;
P520281;28-4-1995 1:00;30,04;;;;;;;;;;
P520281;14-5-1995 1:00;29,95;;;;;;;;;;
P520281;28-5-1995 1:00;30;;;;;;;;;;
P520281;14-6-1995 1:00;30,03;;;;;;;;;;
P520281;28-6-1995 1:00;29,91;;;;;;;;;;
P520281;14-7-1995 1:00;29,42;;;;;;;;;;
P520281;28-7-1995 1:00;29,44;;;;;;;;;;
P520281;14-8-1995 1:00;29,24;;;;;;;;;;
P520281;28-8-1995 1:00;29,42;;;;;;;;;;
P520281;14-9-1995 1:00;29,49;;;;;;;;;;
P520281;28-9-1995 1:00;29,51;;;;;;;;;;
P520281;14-10-1995 1:00;29,54;;;;;;;;;;
P520281;28-10-1995 1:00;29,5;;;;;;;;;;
P520281;14-11-1995 1:00;29,53;;;;;;;;;;
P520281;28-11-1995 1:00;29,58;;;;;;;;;;
P520281;14-12-1995 1:00;29,53;;;;;;;;;;
P520281;28-12-1995 1:00;29,71;;;;;;;;;;
P520281;14-1-1996 1:00;29,69;;;;;;;;;;
P520281;28-1-1996 1:00;29,64;;;;;;;;;;
P520281;14-2-1996 1:00;29,63;;;;;;;;;;
P520281;28-2-1996 1:00;29,79;;;;;;;;;;
P520281;14-3-1996 1:00;29,79;;;;;;;;;;
P520281;28-3-1996 1:00;29,74;;;;;;;;;;
P520281;14-4-1996 1:00;29,76;;;;;;;;;;
P520281;28-4-1996 1:00;29,67;;;;;;;;;;
P520281;14-5-1996 1:00;29,6;;;;;;;;;;
P520281;28-5-1996 1:00;29,63;;;;;;;;;;
P520281;14-6-1996 1:00;29,46;;;;;;;;;;
P520281;28-6-1996 1:00;29,29;;;;;;;;;;
P520281;14-7-1996 1:00;29,35;;;;;;;;;;
P520281;28-7-1996 1:00;29,21;;;;;;;;;;
P520281;14-8-1996 1:00;29,28;;;;;;;;;;
P520281;28-8-1996 1:00;29,33;;;;;;;;;;
P520281;14-9-1996 1:00;29,63;;;;;;;;;;
P520281;28-9-1996 1:00;29,6;;;;;;;;;;
P520281;14-10-1996 1:00;29,66;;;;;;;;;;
P520281;28-10-1996 1:00;29,74;;;;;;;;;;
P520281;14-11-1996 1:00;29,91;;;;;;;;;;
P520281;28-11-1996 1:00;30;;;;;;;;;;
P520281;14-12-1996 1:00;30,07;;;;;;;;;;
P520281;28-12-1996 1:00;29,98;;;;;;;;;;
P520281;14-1-1997 1:00;29,81;;;;;;;;;;
P520281;29-1-1997 1:00;29,84;;;;;;;;;;
P520281;14-2-1997 1:00;30,14;;;;;;;;;;
P520281;28-2-1997 1:00;30,18;;;;;;;;;;
P520281;14-3-1997 1:00;30,09;;;;;;;;;;
P520281;27-3-1997 1:00;30,07;;;;;;;;;;
P520281;14-4-1997 1:00;29,98;;;;;;;;;;
P520281;28-4-1997 1:00;29,94;;;;;;;;;;
P520281;14-5-1997 1:00;29,81;;;;;;;;;;
P520281;28-5-1997 1:00;29,94;;;;;;;;;;
P520281;14-6-1997 1:00;29,9;;;;;;;;;;
P520281;28-6-1997 1:00;29,86;;;;;;;;;;
P520281;16-7-1997 1:00;29,86;;;;;;;;;;
P520281;28-7-1997 1:00;29,76;;;;;;;;;;
P520281;14-8-1997 1:00;29,51;;;;;;;;;;
P520281;28-8-1997 1:00;29,53;;;;;;;;;;
P520281;15-9-1997 1:00;29,55;;;;;;;;;;
P520281;29-9-1997 1:00;29,49;;;;;;;;;;
P520281;14-10-1997 1:00;29,55;;;;;;;;;;
P520281;28-10-1997 1:00;29,58;;;;;;;;;;
P520281;14-11-1997 1:00;29,6;;;;;;;;;;
P520281;28-11-1997 1:00;29,64;;;;;;;;;;
P520281;14-12-1997 1:00;29,74;;;;;;;;;;
P520281;29-12-1997 1:00;29,91;;;;;;;;;;
P520281;14-1-1998 1:00;30,07;;;;;;;;;;
P520281;13-2-1998 1:00;29,94;;;;;;;;;;
P520281;27-3-1998 1:00;30,06;;;;;;;;;;
P520281;14-4-1998 1:00;30,12;;;;;;;;;;
P520281;28-4-1998 1:00;30,13;;;;;;;;;;
P520281;13-5-1998 1:00;30,01;;;;;;;;;;
P520281;28-5-1998 1:00;29,94;;;;;;;;;;
P520281;15-6-1998 1:00;30,16;;;;;;;;;;
P520281;29-6-1998 1:00;30;;;;;;;;;;
P520281;14-1-1999 1:00;30,25;;;;;;;;;;
P520281;28-1-1999 1:00;30,28;;;;;;;;;;
P520281;15-2-1999 1:00;30,21;;;;;;;;;;
P520281;1-3-1999 1:00;30,24;;;;;;;;;;
P520281;17-3-1999 1:00;30,2;;;;;;;;;;
P520281;29-3-1999 1:00;30,21;;;;;;;;;;
P520281;14-4-1999 1:00;30,2;;;;;;;;;;
P520281;29-4-1999 1:00;30,09;;;;;;;;;;
P520281;17-5-1999 1:00;30,01;;;;;;;;;;
P520281;28-5-1999 1:00;29,97;;;;;;;;;;
P520281;14-6-1999 1:00;29,96;;;;;;;;;;
P520281;28-6-1999 1:00;29,88;;;;;;;;;;
P520281;14-7-1999 1:00;29,86;;;;;;;;;;
P520281;28-7-1999 1:00;29,62;;;;;;;;;;
P520281;16-8-1999 1:00;29,8;;;;;;;;;;
P520281;28-8-1999 1:00;29,77;;;;;;;;;;
P520281;14-9-1999 1:00;29,66;;;;;;;;;;
P520281;28-9-1999 1:00;29,63;;;;;;;;;;
P520281;14-10-1999 1:00;29,63;;;;;;;;;;
P520281;28-10-1999 1:00;29,6;;;;;;;;;;
P520281;17-11-1999 1:00;29,68;;;;;;;;;;
P520281;30-11-1999 1:00;29,7;;;;;;;;;;
P520281;15-12-1999 1:00;29,98;;;;;;;;;;
P520281;14-1-2000 1:00;30,12;;;;;;;;;;
P520281;29-1-2000 1:00;30,06;;;;;;;;;;
P520281;15-2-2000 1:00;30,17;;;;;;;;;;
P520281;28-2-2000 1:00;30,24;;;;;;;;;;
P520281;14-3-2000 1:00;30,24;;;;;;;;;;
P520281;28-3-2000 1:00;30,18;;;;;;;;;;
P520281;14-4-2000 1:00;30,12;;;;;;;;;;
P520281;28-4-2000 1:00;30,14;;;;;;;;;;
P520281;14-5-2000 1:00;30,09;;;;;;;;;;
P520281;29-5-2000 1:00;30,13;;;;;;;;;;
P520281;14-6-2000 1:00;30,11;;;;;;;;;;
P520281;26-6-2000 1:00;29,96;;;;;;;;;;
P520281;14-7-2000 1:00;29,95;;;;;;;;;;
P520281;28-7-2000 1:00;29,95;;;;;;;;;;
P520281;14-8-2000 1:00;29,84;;;;;;;;;;
P520281;28-8-2000 1:00;29,83;;;;;;;;;;
P520281;13-9-2000 1:00;29,83;;;;;;;;;;
P520281;27-9-2000 1:00;29,77;;;;;;;;;;
P520281;13-10-2000 1:00;29,91;;;;;;;;;;
P520281;27-10-2000 1:00;29,95;;;;;;;;;;
P520281;14-11-2000 1:00;30,05;;;;;;;;;;
P520281;28-11-2000 1:00;30,13;;;;;;;;;;
P520281;14-12-2000 1:00;30,16;;;;;;;;;;
P520281;2-1-2001 1:00;30,13;;;;;;;;;;
P520281;15-1-2001 1:00;30,14;;;;;;;;;;
P520281;29-1-2001 1:00;30,2;;;;;;;;;;
P520281;14-2-2001 1:00;30,21;;;;;;;;;;
P520281;27-2-2001 1:00;30,21;;;;;;;;;;
P520281;14-3-2001 1:00;30,19;;;;;;;;;;
P520281;12-4-2001 1:00;30,14;;;;;;;;;;
P520281;26-4-2001 1:00;30,18;;;;;;;;;;
P520281;15-5-2001 1:00;30,05;;;;;;;;;;
P520281;28-5-2001 1:00;29,94;;;;;;;;;;
P520281;14-6-2001 1:00;29,87;;;;;;;;;;
P520281;29-6-2001 1:00;29,76;;;;;;;;;;
P520281;13-7-2001 1:00;29,48;;;;;;;;;;
P520281;14-8-2001 1:00;29,61;;;;;;;;;;
P520281;28-8-2001 1:00;29,61;;;;;;;;;;
P520281;14-9-2001 1:00;29,76;;;;;;;;;;
P520281;28-9-2001 1:00;29,96;;;;;;;;;;
P520281;28-10-2001 1:00;29,95;;;;;;;;;;
P520281;14-11-2001 1:00;29,95;;;;;;;;;;
P520281;28-11-2001 1:00;30,01;;;;;;;;;;
P520281;14-12-2001 1:00;30,06;;;;;;;;;;
P520281;28-12-2001 1:00;30,37;;;;;;;;;;
P520281;15-1-2002 1:00;30,11;;;;;;;;;;
P520281;29-1-2002 1:00;30,27;;;;;;;;;;
P520281;14-3-2002 1:00;30,18;;;;;;;;;;
P520281;28-3-2002 1:00;30,14;;;;;;;;;;
P520281;16-4-2002 1:00;30,09;;;;;;;;;;
P520281;29-4-2002 1:00;30,09;;;;;;;;;;
P520281;17-5-2002 1:00;30,12;;;;;;;;;;
P520281;28-5-2002 1:00;30,05;;;;;;;;;;
P520281;13-6-2002 1:00;29,93;;;;;;;;;;
P520281;28-6-2002 1:00;29,74;;;;;;;;;;
P520281;15-7-2002 1:00;29,91;;;;;;;;;;
P520281;29-7-2002 1:00;29,83;;;;;;;;;;
P520281;14-8-2002 1:00;29,76;;;;;;;;;;
P520281;28-8-2002 1:00;29,99;;;;;;;;;;
P520281;17-9-2002 1:00;29,85;;;;;;;;;;
P520281;1-10-2002 1:00;29,8;;;;;;;;;;
P520281;14-10-2002 1:00;29,8;;;;;;;;;;
P520281;31-10-2002 1:00;29,81;;;;;;;;;;
P520281;14-11-2002 1:00;30,2;;;;;;;;;;
P520281;29-11-2002 1:00;30,13;;;;;;;;;;
P520281;13-12-2002 1:00;30,03;;;;;;;;;;
P520281;27-12-2002 1:00;30,23;;;;;;;;;;
P520281;14-1-2003 1:00;30,13;;;;;;;;;;
P520281;28-1-2003 1:00;30,21;;;;;;;;;;
P520281;14-2-2003 1:00;30,14;;;;;;;;;;
P520281;28-2-2003 1:00;30,06;;;;;;;;;;
P520281;17-3-2003 1:00;30,15;;;;;;;;;;
P520281;31-3-2003 1:00;30,02;;;;;;;;;;
P520281;14-4-2003 1:00;30;;;;;;;;;;
P520281;28-4-2003 1:00;29,97;;;;;;;;;;
P520281;14-5-2003 1:00;29,95;;;;;;;;;;
P520281;28-5-2003 1:00;30,06;;;;;;;;;;
P520281;13-6-2003 1:00;30,03;;;;;;;;;;
P520281;27-6-2003 1:00;29,85;;;;;;;;;;
P520281;14-7-2003 1:00;29,77;;;;;;;;;;
P520281;28-7-2003 1:00;29,62;;;;;;;;;;
P520281;14-8-2003 1:00;29,35;;;;;;;;;;
P520281;28-8-2003 1:00;29,36;;;;;;;;;;
P520281;15-9-2003 1:00;29,42;;;;;;;;;;
P520281;30-9-2003 1:00;29,4;;;;;;;;;;
P520281;14-10-2003 1:00;29,55;;;;;;;;;;
P520281;28-10-2003 1:00;29,56;;;;;;;;;;
P520281;14-11-2003 1:00;29,61;;;;;;;;;;
P520281;28-11-2003 1:00;29,67;;;;;;;;;;
P520281;15-12-2003 1:00;29,79;;;;;;;;;;
P520281;29-12-2003 1:00;29,98;;;;;;;;;;
P520281;15-1-2004 1:00;30,21;;;;;;;;;;
P520281;29-1-2004 1:00;30,13;;;;;;;;;;
P520281;27-2-2004 1:00;30,15;;;;;;;;;;
P520281;15-3-2004 1:00;30,14;;;;;;;;;;
P520281;29-3-2004 1:00;30,1;;;;;;;;;;
P520281;15-4-2004 1:00;30,06;;;;;;;;;;
P520281;29-4-2004 1:00;29,99;;;;;;;;;;
P520281;13-5-2004 1:00;30,04;;;;;;;;;;
P520281;27-5-2004 1:00;29,91;;;;;;;;;;
P520281;14-6-2004 1:00;29,85;;;;;;;;;;
P520281;28-6-2004 1:00;29,79;;;;;;;;;;
P520281;15-7-2004 1:00;29,8;;;;;;;;;;
P520281;27-7-2004 1:00;29,89;;;;;;;;;;
P520281;26-8-2004 1:00;29,8;;;;;;;;;;
P520281;13-9-2004 1:00;29,69;;;;;;;;;;
P520281;27-9-2004 1:00;29,83;;;;;;;;;;
P520281;14-10-2004 1:00;29,81;;;;;;;;;;
P520281;29-10-2004 1:00;29,81;;;;;;;;;;
P520281;15-11-2004 1:00;29,89;;;;;;;;;;
P520281;29-11-2004 1:00;30,12;;;;;;;;;;
P520281;14-12-2004 1:00;30,03;;;;;;;;;;
P520281;28-12-2004 1:00;30,16;;;;;;;;;;
P520281;13-1-2005 1:00;30,12;;;;;;;;;;
P520281;27-1-2005 1:00;30,18;;;;;;;;;;
P520281;14-2-2005 1:00;30,29;;;;;;;;;;
P520281;28-2-2005 1:00;30,16;;;;;;;;;;
P520281;14-3-2005 1:00;30,19;;;;;;;;;;
P520281;29-3-2005 1:00;30,1;;;;;;;;;;
P520281;14-4-2005 1:00;30,09;;;;;;;;;;
